question,answer,gold evidence type
"What was the longest game duration in hours and minutes for any game played by the St. Louis Cardinals in the 2006, 2011, or 2013 postseason series?",4:47,"{""table"": 3}"
Sort the attendance figures for playoff games involving the St. Louis Cardinals from highest to lowest. What is the fifth highest attendance figure?,53992,"{""table"": 5}"
How many days were in the American League Championship Series where the Boston Red Sox played a game at the stadium formerly known as Jacobs Field?,10,"{""text"": 3, ""table"": 2}"
"What was the attendance of the earliest game played at Fenway Park across the 1975, 2013, and 2018 postseason series involving the Boston Red Sox?",35578,"{""table"": 3, ""text"": 3}"
"After the year that Geelong defeated Hawthorn in the Grand Final, how many more Grand Final appearances did Collingwood have compared to Richmond?",9,"{""text"": 1, ""table"": 2}"
How many games did the Philadelphia Phillies win across all National League Championship Series where they played against the Los Angeles Dodgers?,13,"{""infobox"": 2, ""text"": 1, ""table"": 2}"
How many games were played between the Cincinnati Reds and the Pittsburgh Pirates in National League Championship Series from 1972 through 1979?,11,"{""table"": 3, ""text"": 3}"
"Across the World Series and American League Championship Series competitions won by the Boston Red Sox, how many games were held at Fenway Park?",7,"{""infobox"": 3, ""table"": 3}"
"Among the attendance figures for games played by the Boston Red Sox listed in the provided series summaries, what was the second highest number?",54367,"{""table"": 3}"
How many games were played between the Pittsburgh Pirates and the Cincinnati Reds in the National League Championship Series from 1972 onwards?,11,"{""text"": 4, ""table"": 4}"
How many constructors listed in the 2002 season driver table are also listed as constructors that employed practice drivers in the 2003 season?,3,"{""table"": 2}"
How many times have the Los Angeles Dodgers and the Philadelphia Phillies competed against each other in a National League Championship Series?,5,"{""text"": 5, ""table"": 2}"
How many football clubs based in Melbourne and mentioned in the provided information competed in a Grand Final that Geelong Football Club won?,3,"{""table"": 2, ""text"": 8}"
"Among the senior teams of the clubs whose premierships are detailed in the two records, what is the highest number of Grand Final appearances?",27,"{""table"": 2}"
How many years passed between the St. Louis Cardinals' 1982 National League Championship Series win and their 2011 World Series championship?,29,"{""table"": 2, ""text"": 3}"
What is the difference in the number of years between the first and last VFL/AFL senior premiership won by Collingwood and the Sydney Swans?,18,"{""table"": 2}"
"What is the longest duration in minutes of any St. Louis Cardinals playoff game from their 1982, 2006, 2011, or 2013 postseason appearances?",287,"{""table"": 5}"
What was the difference in the number of races between Michael Schumacher's final and first Formula One World Championship winning seasons?,2,"{""text"": 2, ""table"": 2}"
What is the difference between the highest and lowest number of races in a Formula One World Championship season won by Michael Schumacher?,2,"{""text"": 14, ""table"": 2}"
What is the combined number of Victorian Football League or Australian Football League Grand Final appearances for Fitzroy and Collingwood?,32,"{""table"": 2}"
"What was the difference in game duration, in minutes, between the shortest game in the 1977 series and the longest game in the 2009 series?",108,"{""table"": 2, ""text"": 2}"
What was the largest number of drivers listed as participating in the qualifying session of the Canadian Grand Prix in either 2015 or 2016?,22,"{""table"": 2, ""text"": 2}"
How many times did Lewis Hamilton achieve pole position in the Canadian Grand Prix qualifying sessions described in the available records?,2,"{""table"": 2}"
What was the lowest world ranking at the start of the 2001/02 season for a player who participated in the 2002 Masters snooker tournament?,2,"{""table"": 7}"
"What is the maximum number of Grand Finals reached by any of the following teams: Richmond, Collingwood, Essendon, St Kilda, or Hawthorn?",27,"{""table"": 2, ""text"": 6}"
What was the largest attendance figure recorded for a St. Louis Cardinals game in a National League Championship Series or World Series?,56357,"{""table"": 5, ""text"": 3}"
What is the greatest number of races in any Formula One season Michael Schumacher won the Drivers' Championship between 2000 and 2004?,18,"{""text"": 5, ""table"": 2}"
What is the total number of races held across the 2018 and 2019 Formula One seasons in which Lewis Hamilton was the Drivers' Champion?,42,"{""text"": 2, ""table"": 2}"
"What is the maximum number of senior VFL/AFL Grand Final appearances among the Richmond, Collingwood, and Sydney Swans football clubs?",27,"{""table"": 3}"
How many unique main drivers participated in the Formula One season where Michael Schumacher secured his fifth Drivers' Championship?,23,"{""text"": 7, ""table"": 2}"
How many more Grand Finals did Collingwood lose compared to Richmond before the year that Fitzroy defeated Richmond in a Grand Final?,4,"{""text"": 1, ""table"": 2}"
"What was Lewis Hamilton's slowest qualifying lap time, measured in milliseconds, across the 2015 and 2016 Canadian Grand Prix events?",75895,"{""table"": 2}"
What is the difference between the greatest and fewest number of games played in a postseason series won by the St. Louis Cardinals?,4,"{""table"": 5, ""text"": 2}"
"What is the total number of games played at Fenway Park across the 1975, 2013, and 2018 playoff series involving the Boston Red Sox?",7,"{""table"": 3, ""infobox"": 3}"
What is the greatest number of races in a Formula One season where Lewis Hamilton and Mercedes were both world champions after 2015?,21,"{""text"": 6, ""table"": 2}"
What is the combined number of races in Michael Schumacher's Formula One championship seasons for which driver tables are provided?,33,"{""text"": 7, ""table"": 2}"
What is the difference in years between the earliest and latest National League Championship Series won by the St. Louis Cardinals?,31,"{""table"": 3, ""text"": 4, ""infobox"": 1}"
How many playoff series where the Boston Red Sox participated had at least one game played at Progressive Field or its former name?,1,"{""text"": 2, ""table"": 3}"
What is the greatest number of Grand Final appearances made by either the Richmond Football Club or the Collingwood Football Club?,27,"{""table"": 2}"
How many years passed between the year St Kilda lost a Grand Final to Fitzroy and the year Richmond lost a Grand Final to Fitzroy?,31,"{""text"": 2, ""table"": 2}"
"Among the Australian Football League teams for which data is available, what is the smallest number of wooden spoons any team has?",2,"{""table"": 3}"
How many times have the Los Angeles Dodgers and Philadelphia Phillies faced each other in the National League Championship Series?,5,"{""text"": 5, ""table"": 3}"
"What was the highest attendance figure recorded for any single game during the 1975, 2013, or 2018 Boston Red Sox playoff series?",54400,"{""table"": 3}"
What is the highest number of races that occurred in a Formula One season where Michael Schumacher won the Drivers' Championship?,18,"{""text"": 14, ""table"": 2}"
What is the difference in years between the longest gaps in senior premierships for the Richmond and Collingwood football clubs?,5,"{""table"": 2}"
How many teams that competed in a sporting event won by the Geelong Football Club have their headquarters located in Melbourne?,3,"{""text"": 6, ""table"": 2}"
How many games were played in the National League Championship Series won by the St. Louis Cardinals in 2011 and 2013 combined?,12,"{""table"": 2, ""text"": 2, ""infobox"": 1}"
What was the highest attendance for a game won by the Boston Red Sox in a championship series that concluded in or before 2018?,54400,"{""table"": 3, ""infobox"": 3}"
What is the third highest attendance figure for a game played by the Boston Red Sox among games listed with attendance details?,53114,"{""table"": 3}"
How many teams that competed in a sporting event won by the Geelong Football Club have their headquarters located in Melbourne?,3,"{""text"": 3, ""table"": 2}"
What is the difference between the total number of senior premierships won by Collingwood and the total number won by Richmond?,2,"{""table"": 2}"
"How many games were played at Fenway Park across the Boston Red Sox's 1975 ALCS, 2013 ALCS, and 2018 World Series appearances?",7,"{""table"": 3}"
"What is the highest number of senior Grand Final appearances among the Richmond, Collingwood, and Sydney Swans football clubs?",27,"{""table"": 3}"
What is the total number of races held in the Formula One seasons where Lewis Hamilton and Mercedes both won the championship?,81,"{""text"": 6, ""table"": 2}"
What is the greatest number of rounds any single driver participated in among those listed in the 2002 and 2003 driver tables?,17,"{""table"": 2, ""text"": 1}"
How many of the football clubs for which Grand Final appearances are listed have played against Collingwood in a Grand Final?,2,"{""table"": 3, ""text"": 4}"
How many drivers listed as competing in the 2002 Formula One season were also listed as practice drivers in the 2003 season?,1,"{""table"": 2}"
"What is the third highest number of senior premierships won by Collingwood, Richmond, Essendon, St Kilda, and Port Adelaide?",14,"{""table"": 2, ""text"": 4}"
How many more times has Collingwood's senior team been a Grand Finalist in the main competition than Richmond's senior team?,16,"{""table"": 2}"
What is the smallest number of races in a Formula One season where Lewis Hamilton won the Drivers' Championship after 2015?,20,"{""text"": 4, ""table"": 2}"
How many total games were played in the two most recent National League Championship Series won by the St. Louis Cardinals?,12,"{""infobox"": 1, ""table"": 2, ""text"": 5}"
"Among the games played in the 1975 ALCS, 2013 ALCS, and 2018 World Series, what is the third shortest game time in minutes?",160,"{""table"": 3}"
What was the highest attendance for any single game played by the Boston Red Sox in a postseason competition through 2018?,54400,"{""table"": 3}"
How many times did the pair of Zhao Yunlei and Tian Qing win a BWF Superseries tournament against Wang Xiaoli and Yu Yang?,4,"{""table"": 2, ""text"": 4}"
What is the fewest number of races held in a Formula One season where Lewis Hamilton was the Drivers' Champion after 2015?,20,"{""text"": 4, ""table"": 2}"
How many Australian rules football teams based in Melbourne have competed in a Grand Final that Geelong Football Club won?,3,"{""text"": 5, ""table"": 2}"
What was the highest number of drivers competing in a Formula One season where Lewis Hamilton won the World Championship?,22,"{""text"": 6, ""table"": 2}"
What is the earliest birth year among individuals who worked for Brentford Football Club and were born in or before 1956?,1937,"{""infobox"": 1, ""text"": 2, ""table"": 1}"
What is the highest number of races held in a Formula One season where Michael Schumacher won the Drivers' Championship?,18,"{""text"": 14, ""table"": 2}"
"Among games played at Fenway Park during the 1975, 2013, and 2018 playoff series, what was the third highest attendance?",38454,"{""table"": 3}"
What was the difference in the total number of years John Eldon Gorst and James Bryce served as a Member of Parliament?,6,"{""table"": 2}"
What is the total number of games played in the Boston Red Sox's two most recent championship series victories listed?,11,"{""table"": 2, ""infobox"": 3, ""text"": 2}"
"What is the second highest number of Championship of Australia titles won by Richmond, Collingwood, and Port Adelaide?",3,"{""table"": 2, ""text"": 1}"
What is the second highest number of races in a season when Michael Schumacher won the Formula One World Championship?,17,"{""text"": 6, ""table"": 2}"
How many players mentioned in the evidence reached at least the quarter-finals of the 2002 Masters snooker tournament?,4,"{""table"": 9, ""text"": 3}"
What is the difference between the number of VFL/AFL Grand Finals lost by Collingwood and the number lost by Richmond?,16,"{""table"": 2, ""text"": 1}"
What was the fastest Q3 qualifying time achieved by Lewis Hamilton at the Canadian Grand Prix between 2015 and 2016?,1:12.812,"{""table"": 2, ""text"": 2}"
How many teams finished with a worse overall rank than Emirates Team New Zealand in the 2011 Extreme Sailing Series?,8,"{""infobox"": 1, ""table"": 1}"
What is the greatest number of races in a Formula One season where Michael Schumacher won the Drivers' Championship?,18,"{""text"": 6, ""table"": 2}"
"What is the highest number of times among Richmond, Fitzroy, and Sydney Swans that a club has been a Grand Finalist?",13,"{""table"": 3}"
How many of Lewis Hamilton's Formula One championship seasons that started in 2015 or later had more than 20 races?,2,"{""text"": 6, ""table"": 2}"
"What was the highest attendance for a St. Louis Cardinals postseason game in the 1982, 2006, 2011, or 2013 series?",56357,"{""table"": 5}"
What is the maximum number of races in a Formula One season where Lewis Hamilton and Mercedes were both champions?,21,"{""text"": 5, ""table"": 2}"
What was the fastest qualifying lap time set by Lewis Hamilton at the Canadian Grand Prix in either 2015 or 2016?,1:12.812,"{""table"": 2, ""text"": 2}"
What is the greatest number of races held in a Formula One season where Lewis Hamilton was the Drivers' Champion?,21,"{""text"": 9, ""table"": 2}"
What was the highest number of points Luna Rossa scored in any single Act during the 2011 Extreme Sailing Series?,5,"{""table"": 1, ""text"": 1, ""infobox"": 1}"
What is the combined number of senior VFL or AFL premierships won by the Richmond and Collingwood football clubs?,29,"{""table"": 2, ""text"": 2}"
How many Formula One World Championships did Michael Schumacher win before the season which featured 23 drivers?,4,"{""text"": 7, ""table"": 2}"
What is the maximum number of years a Member of Parliament who also served on the Privy Council held an MP seat?,24,"{""table"": 2, ""text"": 4}"
What is the fewest number of races in a Formula One season where Lewis Hamilton won the championship after 2015?,20,"{""text"": 5, ""table"": 2}"
"Considering the senior teams of Richmond and Collingwood, what is the highest number of Grand Final appearances?",27,"{""table"": 2}"
How many drivers who competed in the 2002 Formula One season are listed as practice drivers in the 2003 season?,1,"{""table"": 2}"
How many baseball championship series involving the Boston Red Sox included a game played at Progressive Field?,1,"{""text"": 2, ""table"": 3}"
How many more senior premierships has the Collingwood Football Club won compared to the Richmond Football Club?,2,"{""table"": 2, ""text"": 2}"
How many games were played at Dodger Stadium in the 1978 and 2008 National League Championship Series combined?,5,"{""table"": 2, ""text"": 2}"
What is the maximum number of races in a Formula One season where Michael Schumacher was the Drivers' Champion?,18,"{""text"": 14, ""table"": 2}"
What was the lowest ranking at the start of the 2001/02 season for any player who competed in the 2002 Masters?,2,"{""table"": 7}"
How many players born in the 1970s reached at least the quarter-finals in the 2002 Masters snooker competition?,2,"{""table"": 3, ""text"": 5}"
What is the greatest number of races in a season where Lewis Hamilton won the Drivers' Championship after 2015?,21,"{""text"": 3, ""table"": 2}"
What was the highest number of goals kicked by the leading goalkicker for the Sydney Swans in a single season?,150,"{""table"": 2}"
How many BWF Superseries tournaments did Kamilla Rytter Juhl and Christinna Pedersen win together before 2015?,3,"{""table"": 2, ""text"": 1}"
How many times did Lewis Hamilton achieve pole position at the Canadian Grand Prix in the years 2015 and 2016?,2,"{""table"": 2}"
How many players born before 1970 reached at least the quarter-finals of the 2002 Masters snooker tournament?,2,"{""text"": 4, ""table"": 2}"
"What is the combined total number of games played in the 1975 ALCS, the 2013 ALCS, and the 2018 World Series?",14,"{""table"": 3}"
What is the sum of the years for which Lewis Hamilton's Canadian Grand Prix qualifying results are available?,4031,"{""table"": 2, ""text"": 2}"
What is the greatest number of races in a Formula One season where Lewis Hamilton was the Drivers' Champion?,21,"{""text"": 8, ""table"": 2}"
How many consecutive Formula One World Championships did Michael Schumacher win starting with the year 2000?,5,"{""text"": 5, ""table"": 2}"
How many more races were in Michael Schumacher's 2002 championship season than his 2003 championship season?,1,"{""text"": 5, ""table"": 2}"
How many games were played in the latest National League Championship Series won by the St. Louis Cardinals?,6,"{""text"": 6, ""infobox"": 1, ""table"": 1}"
What is the minimum number of races in a Formula One season where Lewis Hamilton was the Drivers' Champion?,18,"{""text"": 9, ""table"": 2}"
How many games were played in an opponent's venue during the championship series won by the Boston Red Sox?,7,"{""infobox"": 3, ""table"": 3, ""text"": 2}"
What is the minimum number of races in a Formula One season where Lewis Hamilton was the Drivers' Champion?,18,"{""text"": 8, ""table"": 2}"
What is the fewest number of games the St. Louis Cardinals played in any championship series that they won?,3,"{""table"": 3, ""text"": 4, ""infobox"": 1}"
How many times did Lewis Hamilton achieve first position at the Canadian Grand Prix in either 2015 or 2016?,2,"{""table"": 2, ""text"": 2}"
"What is the greatest number of VFL or AFL Grand Finals lost by Richmond, Collingwood, or the Sydney Swans?",27,"{""table"": 3, ""text"": 3}"
What was the highest number of appearances Paul Smith made in a single season while playing for Brentford?,51,"{""table"": 1, ""text"": 1, ""infobox"": 1}"
What is the maximum number of rounds any driver listed in the 2002 or 2003 driver entries participated in?,17,"{""table"": 2, ""text"": 1}"
What is the highest number of Grand Final appearances between the Richmond and Collingwood football clubs?,27,"{""table"": 2}"
What was the highest attendance for any game in a baseball championship series won by the Boston Red Sox?,54400,"{""text"": 3, ""table"": 3}"
How many years are between the earliest and latest dates of a St. Louis Cardinals playoff series found?,29,"{""text"": 2, ""table"": 2}"
How many teams were defeated by Fitzroy FC in a VFL/AFL Grand Final based on the available information?,2,"{""text"": 2, ""table"": 2}"
What is the highest number of Grand Final losses recorded for a single Australian rules football club?,27,"{""table"": 2, ""text"": 1}"
How many constructors listed for the 2002 season also had practice drivers listed for the 2003 season?,3,"{""table"": 2}"
How many of Lewis Hamilton's Formula One championship seasons from 2015 onwards had exactly 21 races?,2,"{""text"": 6, ""table"": 2}"
How many more BWF Superseries titles did Yu Yang win in 2011 compared to Kamilla Rytter Juhl in 2012?,8,"{""table"": 2, ""text"": 2}"
What is the combined total number of races held in the 2018 and 2019 Formula One World Championships?,42,"{""table"": 2, ""text"": 2}"
What was the fastest qualifying lap time Lewis Hamilton recorded during the 2016 Canadian Grand Prix?,1:12.812,"{""table"": 2, ""text"": 1}"
What is the highest number of wooden spoons recorded for the senior teams of Richmond or Collingwood?,7,"{""table"": 2}"
How many unique pairs won a medal in the women's doubles event at the 2013 BWF World Championships?,4,"{""infobox"": 4, ""text"": 2, ""table"": 2}"
How many times did Lewis Hamilton achieve pole position at the Canadian Grand Prix in 2015 or 2016?,2,"{""table"": 2}"
How many unique drivers are listed across the provided driver lists for the 2002 and 2003 seasons?,29,"{""table"": 2}"
How many VFL/AFL premierships did Collingwood win after Fitzroy won its last VFL/AFL premiership?,5,"{""table"": 2, ""text"": 2}"
What was the highest attendance at a game in a postseason series won by the St. Louis Cardinals?,56357,"{""table"": 2, ""text"": 2}"
How many races were held in total across Lewis Hamilton's championship seasons in 2018 and 2019?,42,"{""text"": 2, ""table"": 2}"
How many baseball competitions did the St. Louis Cardinals win that concluded in 1985 or later?,7,"{""text"": 3, ""table"": 4}"
How many VFL/AFL premierships did Essendon win after defeating Fitzroy in the 1923 Grand Final?,5,"{""text"": 6, ""table"": 2}"
How many seasons where Michael Schumacher was the Drivers' Champion featured seventeen races?,4,"{""text"": 8, ""table"": 2}"
How many baseball post-season series did the Boston Red Sox win that began on or before 2018?,3,"{""infobox"": 3, ""table"": 3}"
What was the highest attendance recorded at Fenway Park for a Boston Red Sox postseason game?,38823,"{""table"": 3}"
"How many playoff games involving the St. Louis Cardinals had an attendance exceeding 50,000?",13,"{""table"": 5, ""text"": 5}"
How many participants in the 2002 Masters snooker competition were born in 1980 or earlier?,9,"{""table"": 2, ""text"": 6}"
How many individuals associated with Brentford Football Club were born in the 20th century?,5,"{""text"": 4, ""infobox"": 1, ""table"": 1}"
How many Formula One championship seasons won by Lewis Hamilton included exactly 21 races?,2,"{""text"": 2, ""table"": 2}"
What is the greatest number of races in a Formula One season that Michael Schumacher won?,18,"{""table"": 2, ""text"": 6}"
What was the highest attendance for a St. Louis Cardinals game among the listed series?,56357,"{""table"": 5}"
How many championship seasons did Lewis Hamilton win that included more than 20 races?,2,"{""text"": 6, ""table"": 2}"
What was the shortest game duration in minutes for a St. Louis Cardinals playoff game?,145,"{""table"": 5}"
What is the number of snooker players who participated in the 2002 Masters tournament?,12,"{""table"": 7, ""text"": 4}"
How many times did Richmond and Collingwood play against each other in a Grand Final?,6,"{""table"": 2, ""text"": 2}"
How many of Lewis Hamilton's Formula One championship seasons had more than 20 races?,2,"{""text"": 9, ""table"": 2}"
How many National League Championship Series titles did the St. Louis Cardinals win?,6,"{""text"": 5, ""table"": 2, ""infobox"": 1}"
What is the total number of races held across the 2018 and 2019 Formula One seasons?,42,"{""table"": 2}"
How many more senior Grand Finals has Collingwood appeared in compared to Richmond?,16,"{""table"": 2}"
How many badminton players mentioned competed in the 2013 BWF World Championships?,7,"{""text"": 3, ""table"": 6}"
How many games were played at Fenway Park in the most recent World Series listed?,2,"{""infobox"": 1, ""table"": 1}"
What is the highest attendance recorded for a St. Louis Cardinals playoff game?,56357,"{""table"": 5, ""text"": 1}"
What was the maximum number of competitors in the 2011 Extreme Sailing Series?,11,"{""table"": 1, ""infobox"": 1}"
How many times did Michael Schumacher win the Formula One World Championship?,7,"{""text"": 7, ""table"": 2}"
How many badminton players won a medal at the 2013 BWF World Championships?,7,"{""text"": 3, ""infobox"": 2, ""table"": 2}"
How many athletes earned a medal at the 2013 Guangzhou World Championship?,7,"{""text"": 4, ""table"": 4}"
How many races were held across the Formula One seasons in 2018 and 2019?,42,"{""table"": 2}"
What was the highest attendance for a St. Louis Cardinals playoff game?,56357,"{""table"": 5}"
What is the highest number of Grand Final appearances by a senior team?,27,"{""table"": 2, ""text"": 2}"
How many Canadian Grand Prix events mentioned took place before 2017?,5,"{""text"": 6, ""table"": 2}"
How many different teams have defeated Collingwood in a Grand Final?,6,"{""text"": 6, ""table"": 2}"
What is the highest number of wooden spoons a team has recorded?,11,"{""table"": 3}"
How many distinct drivers are listed in the provided tables?,29,"{""table"": 2}"
